City,State,Country,Shape_id,Image,Date,Time
Ola,AR,USA,4,No,07/04/2020,17:00:00
Honolulu,HI,USA,4,No,07/03/2020,19:37:00
Naugatuck,CT,USA,4,No,07/02/2020,21:45:00
Fort Payne,AL,USA,4,No,07/02/2020,21:30:00
Denver,CO,USA,4,No,07/02/2020,12:30:00
Nampa,ID,USA,4,No,07/01/2020,19:30:00
Waverly,OH,USA,4,No,07/01/2020,12:00:00
Cincinnati,OH,USA,4,No,06/12/2020,23:49:00
Lumberton,NJ,USA,4,No,06/12/2020,08:55:00
Columbia,KY,USA,4,No,06/12/2020,05:30:00
NY Mills,NY,USA,4,No,06/10/2020,23:30:00
Sneads Ferry,NC,USA,4,No,06/10/2020,23:30:00
Victoria,MN,USA,4,No,06/10/2020,22:00:00
Arleta,CA,USA,4,No,06/10/2020,18:30:00
Fernley,NV,USA,4,No,06/10/2020,16:00:00
Sacramento,CA,USA,4,No,06/09/2020,13:30:00
Porto Marina Beach,CA,USA,4,No,06/09/2020,07:30:00
Fredericktown,PA,USA,4,No,06/08/2020,20:53:00
Highland,CA,USA,4,No,06/07/2020,22:00:00
Buckner,KY,USA,4,No,06/06/2020,23:15:00
Jonestown/Logo Vista (between),TX,USA,4,No,06/06/2020,21:00:00
Colorado Springs,CO,USA,4,No,06/03/2020,13:00:00
Cleveland,OH,USA,4,No,06/02/2020,23:00:00
Oakland,NE,USA,4,No,06/02/2020,21:45:00
Wilkes-Barre,PA,USA,4,No,06/02/2020,21:27:00
Poca,WV,USA,4,No,06/02/2020,21:00:00
Annapolis,MD,USA,4,No,06/02/2020,17:00:00
rancho mission viejo,CA,USA,4,No,06/02/2020,11:45:00
Columbia,KY,USA,4,No,06/02/2020,03:00:00
Plymouth,WI,USA,4,No,06/01/2020,20:30:00
Pocatello,ID,USA,4,No,06/01/2020,00:00:00
New York City (Bronx),NY,USA,4,No,05/12/2020,20:28:00
Livonia,MI,USA,4,No,05/11/2020,21:00:00
Virginia Beach,VA,USA,4,No,05/10/2020,21:14:00
London,KY,USA,4,No,05/10/2020,10:00:00
Baie-ste-anne (Canada),NB,Canada,4,No,05/09/2020,00:00:00
Colbert,WA,USA,4,No,05/08/2020,13:27:00
Frankfurt,IN,USA,4,No,05/08/2020,13:00:00
Cottage Grove,MN,USA,4,No,05/07/2020,23:10:00
Cheraw,SC,USA,4,No,05/06/2020,22:50:00
Chandler,AZ,USA,4,No,05/05/2020,20:15:00
Dupont,PA,USA,4,No,05/05/2020,19:00:00
Van Nuys,CA,USA,4,No,05/04/2020,21:10:00
Hudson,MI,USA,4,No,05/04/2020,10:00:00
Evansville,IN,USA,4,No,05/04/2020,03:00:00
